Subject,Question,Answer
Lato Sensu,Quando será possível a emissão dos certificados de conclusão de curso? ,"A emissão dos certificados só é possível após o registro pela SAA do Relatório Final do Curso, elaborado pela coordenação e aprovado pelo Decanato de Pós-Graduação - DPG no sistema acadêmico.
"
Lato Sensu,É possível fazer aproveitamento de estudos na especialização? ,"Não há previsão para aproveitamento de estudos na especialização.
"
Lato Sensu,É possível solicitar Trancamento Geral de Matrícula na especialização? ,"Não há previsão para Trancamento Geral de Matrícula na especialização. A própria natureza dos cursos de especialização não permitiria o registro dessa ocorrência, pois os cursos de especialização são de oferta não obrigatória e de caráter temporário.
"
Lato Sensu,É possível a transferência entre cursos de especialização? ,"Não é possível a transferência entre cursos de especialização.
"
Lato Sensu,Como posso ter acesso ao e-mail institucional? ,"A UnB tem parceria com a Microsoft e toda a comunidade acadêmica tem acesso gratuito à suíte de aplicativos Microsoft Office 365 Educacional - versão nuvem. Isso inclui uma conta de e-mail institucional via Outlook e funcionalidades como Teams, Word, Excel, Power Point e OneDrive. O acesso à ferramenta é garantido enquanto o(a) estudante estiver ativo(a) na Universidade. Para acessar:
Entrar na página https://portal.office.com;LOGIN - númerodematrísaaatendimento@unb.brSENHA - mesma cadastrada para acesso ao SIGAA.
Mais informações estão disponíveis aqui: http://sti.unb.br/office365-alunos
"
Lato Sensu,Como faço para solicitar a carteirinha estudantil? ,"Após seu registro, você poderá ter que solicitar sua identidade estudantil junto à PROMOFOTO (responsável pela emissão). A PROMOFOTO atenderá, após o retorno das atividades acadêmicas presenciais, no ICC Sul (Ceubinho), com estande fixo e em horários que variam das 8h às 20h, de segunda a sexta-feira. A PROMOFOTO prestará, a todo momento, o atendimento ao discente para confeccionar a identidadeestudantil, também em sua sede, localizada no Brasília Shopping, piso G2, telefone (61) 3963-6360.Em tempo, informamos que o custo da emissão da identidade estudantil é de R$ 15,00 (quinze reais).
"
Lato Sensu,Aluno de especialização tem subsídio no valor da refeição no Restaurante Universitário? ,"O discente de especialização não recebe subsídio no valor da refeição no Restaurante Universitário (RU). Desse modo, o aluno pode ter acesso ao RU como grupo 3, com o pagamento integral da refeição."
Informações Complementares,Assistência Estudantil Qualquer aluno da UnB pode morar na Casa do Estudante? ,"Infelizmente, não. Para informações detalhadas acerca da moradia estudantil, acessar o link http://dds.dac.unb.br/index.php/acoes-e-servicos-4"
Informações Complementares,Biblioteca Central da UnB Como eu faço para pagar minha multa perante a BCE? ,Sugerimos contato diretamente com a BCE. O site do órgão é https://bce.unb.br/.
Informações Complementares,Iniciação Científica - PIBIC e PIBID O que são PIBIC e PIBID? ,PIBIC (Programa Institucional de Bolsas de Iniciação Científica) e PIBID (Programa Institucional de Bolsas de Iniciação à docência)Mais informações estão disponíveis na página dedicada à iniciação científica na UnB: http://proic.unb.br/.
Informações Complementares,"Reclamações Como fazer reclamações, elogios e/ou sugestões? ","Por meio da Ouvidoria da UnB, cujo site é: https://ouvidoria.unb.br/"
Informações Complementares,Reclamações Posso fazer reclamações sem me identificar? ,"Sim. As reclamações, sugestões e/ou elogios podem ser anônimas."
Informações Complementares,Diplomas de outras Instituições de Ensino A UnB registra diploma das Instituições de Ensino Superior (IES) do Brasil inteiro?  ,"Não. Apenas das Instituições do Distrito Federal (IES/DF), pois a UnB não tem estrutura para incluir IES de outros estados da federação."
Informações Complementares,"Diplomas de outras Instituições de Ensino Sou de uma Instituição de Ensino Superior do DF e tenho interesse em registrar meus diplomas na UnB, como proceder? ",O responsável deverá encaminhar um ofício solicitando o registro de seus diplomas na UnB ao e-mailsaaatendimento@unb.br e aguardar as orientações sobre os próximos passos.
Informações Complementares,Diplomas de outras Instituições de Ensino Como a Instituição de Ensino Superior deverá enviar os processos de registro de diploma à UnB? ,"Os processos deverão ser encaminhados por meio de um único ofício, contendo o nome de todos os alunos, em ordem alfabética. Não deverá ser feita a separação por curso ou por nenhuma outra forma de organização. Esse envio será feito somente por agendamento com o responsável pela IES."
Informações Complementares,Diplomas de outras Instituições de Ensino Qual o procedimento de registro de diploma durante a pandemia? ,"A IES entrará em contato, via e-mail, com o setor de diplomas da UnB, solicitando registro e disponibilizando os processos, de maneira digital. Após a análise do processo, e, caso todas informações estejam corretas, o registro será efetuado. Finalizada essa etapa, o setor supracitado agendará data para transcrição das informações no diploma, colherá a assinatura do secretário da SAA e devolverá o processo à IES."
Informações Complementares,"Diplomas de outras Instituições de Ensino Sou aluno de IES, como saber se meu processo de solicitação de registro de Diploma de IES/DF está na UnB? ","A UnB registra os diplomas, expedidos pelas IES da região geoeducacional do DF, por delegação de competência do MEC, por meio do art. 3º, da Portaria MEC nº 1.095/2018. Entretanto, todas as informações aos diplomados sobre o andamento de seus processos de registro são fornecidas pela própria IES."
Informações Complementares,Diplomas de outras Instituições de Ensino Minha faculdade encerrou suas atividades. Como devo solicitar diploma de IES/DF extinta? ,"Com a Portaria de Descredenciamento, fica determinada uma série de obrigações a serem cumpridas pelos representantes da IES descredenciada, especialmente os serviços de secretaria acadêmica. Caso a IES, seus representantes legais ou dirigentes da mantenedora não estejam exercendo tal obrigação, são tomadas medidas para transferir tal ônus a outra IES da mesma mantenedora ou grupo, ou, ainda, em último caso, para apreensão do acervo e seu encaminhamento à IES federal mais próxima.A Universidade de Brasília possui apenas a documentação acadêmica das Faculdades Caiçaras, Garcia Silveira e da Faculdade da Terra de Brasília. Para emissão de 2ª via de documentação dessas Faculdades, dirija-se ao atendimento da SAA Central, localizada no subsolo do prédio Reitoria, no campus Darcy Ribeiro.Quaisquer dúvidas deverão ser encaminhadas ao e-mail institucional saaatendimento@unb.br"
Informações Complementares,Diplomas de outras Instituições de Ensino Qual o valor da taxa de registro de diploma de IES/DF? ,"A UnB presta serviços de registro de diplomas, sendo essa uma relação exclusiva entre Instituições e a taxa cobrada por esse serviço não deve ser repassada aos alunos, conforme determinação do art. 1º, do Decreto nº 35.990/2014:“Art. 1º As instituições de ensino fundamental, médio e superior, públicas e privadas, situadas no Distrito Federal, que realizar cobrança de taxa para emissão de diploma ou certificado de conclusão de curso, estão sujeitas à aplicação de sanção administrativa, cujo procedimento é regulado nos termos deste Decreto.”A taxa é de R$100,00 (cem reais), para 1ª via, e R$ 400,00 (quatrocentos reais), para 2ª via, nos termos da Resolução do Conselho de Administração Nº0009/2015."
Informações Complementares,"Diplomas de outras Instituições de Ensino Enviei toda documentação à faculdade (privada), mas, até agora, ela não entregou o diploma. Posso entregar a documentação diretamente à UnB? ",Não é possível. O contato da UnB é exclusivo com a IES.
Informações Complementares,"Diplomas de outras Instituições de Ensino Fui aprovado em um concurso público e preciso, com urgência, do diploma. O que devo fazer?","Você deve entrar em contato com a IES e fazer o pedido de emissão do diploma em caráter de urgência. A urgência para registro do diploma deve ser solicitada pela IES, mediante as comprovações da urgência."
Informações Complementares,Diplomas de outras Instituições de Ensino Qual prazo a UnB tem para registrar o diploma? ,"Conforme o art. 19, §2º, da Portaria MEC nº 1.095/2018, a IES registradora deverá registrar o diploma no prazo máximo de sessenta dias, contados do recebimento do diploma procedente de IES expedidora.O prazo poderá ser prorrogado uma única vez, por igual período, desde que devidamente justificado pela IES."
Informações Complementares,Diplomas de outras Instituições de Ensino A UnB expede o diploma da IES das Faculdades particulares? ,"Não. Conforme o art. 3º, da Portaria MEC nº 1.095/2018, os diplomas expedidos pelas universidades serão por elas próprias registrados. Já os diplomas conferidos por instituições não universitárias serão registrados por universidades credenciadas, na forma da legislação vigente, à exceção das Faculdades Caiçaras, Garcia Silveira e da Faculdade da Terra de Brasília."
Informações Complementares,Diplomas de outras Instituições de Ensino Como saber se meu diploma realmente foi registrado pela UnB? ,O titular do diploma deve enviar cópia dos seguintes documentos:
Informações Complementares,Restaurante Universitário (RU) Como faço para não pagar o RU? ,Confira as condições de isenção no site da DDS (Diretoria de Desenvolvimento Social): http://dds.dac.unb.br/index.php/perguntas-frequentes.
Informações Complementares,"Restaurante Universitário (RU) Como faço para conhecer, virtualmente, o cardápio do RU? ",Para conhecer o cardápio acessar o link do restaurante em: https://ru.unb.br/index.php/cardapio-ru.
Informações Complementares,Peticionamento Eletrônico Como o aluno consegue acessar o sistema? ,"Para acesso ao sistema, é necessário fazer cadastro por meio do seguinte link: SEI - Sistema Eletrônico de Informações - Início (unb.br)Caminho: SEI! --> Usuário Externo e Aluno / Esqueci a senhaTodos os alunos da UnB já possuem um pré-cadastro. Caso não seja aluno, deve fazer um cadastro e solicitar a liberação ao e-mailsaaatendimento@unb.br."
Informações Complementares,Peticionamento Eletrônico O que é peticionamento eletrônico? ,"Trata-se de um mecanismo eletrônico, dentro da plataforma SEI/UnB, para que usuários externos da universidade possam acessar processos e demandas (demandas as quais que estão discriminadas dentro da plataforma)."
Informações Complementares,Peticionamento Eletrônico Para que serve o cadastro no SEI? ,O SEI serve para fazer algumas solicitações por peticionamento eletrônico e para acompanhar processos em que o aluno é o interessado.
Informações Complementares,Peticionamento Eletrônico Quem são os usuários externos? ,São pessoas que não pertencem ao quadro de servidores da UnB.
Informações Complementares,Peticionamento Eletrônico O que significa a expressão “processo sobrestado” no SEI? ,"O sobrestamento de processos corresponde à suspensão temporária do processo, inclusive interrompendo a contagem de tempo e os prazos do processo. O sobrestamento impede que um processo receba novos documentos ou alterações."
Informações Complementares,Peticionamento Eletrônico O formulário do SEI pede o código do curso. Nós devemos colocar o código da habilitação atual ou o código da segunda habilitação pretendida? ,"Com a implantação do SIGAA, esse campo não é mais necessário. A equipe da SAA está providenciando a alteração do formulário."
Informações Complementares,Peticionamento Eletrônico Como faço para entrar com recurso? ,"Para realizar o recurso, o interessado deve ingressar - por meio do processo intercorrente (peticionamento eletrônico) - preenchendo o formulário de recurso geral, no link: http://saa.unb.br/aproveitamento-de-estudos."
Informações Complementares,SIGAA (Sistema Integrado de Gestão de Atividades Acadêmicas) Como recuperar a senha de acesso ao SIGAA? ,O aluno recupera senha e acesso por meio do seguinte caminho: a) sig.unb.br; b) clicar em SIGAA; e c) clicar em esqueci a senha.
Informações Complementares,SIGAA (Sistema Integrado de Gestão de Atividades Acadêmicas) Como faço para atualizar meus dados cadastrais? ,"Alguns dados podem ser atualizados pelo próprio aluno. Caso tenha alguma dificuldade, o aluno deve entrar em contato via e-mail: saaatendimento@unb.br."
